Run,Event,Type1,E1,px1 ,py1,pz1,pt1,eta1,phi1,Q1,Type2,E2,px2,py2,pz2,pt2,eta2,phi2,Q2,M
148864,313172902,G,5.80834,1.30378,2.6809,-4.98383,2.98112,-1.28643,1.11815,1,G,6.26854,-1.77239,2.43657,-5.49592,3.01301,-1.36207,2.19968,-1,3.10123
148864,313184070,G,8.25068,2.56204,1.64825,-7.66693,3.04643,-1.65341,0.571676,1,G,8.9897,-0.300947,-6.47197,-6.2311,6.47897,-0.854061,-1.61726,1,8.70028
148864,313270206,G,78.8653,20.0124,6.24233,-76.0281,20.9634,-1.99996,0.302359,1,T,5.34244,1.25496,1.0041,-5.09386,1.60721,-1.87069,0.674807,1,2.3177
148864,313482374,G,11.6694,-3.41138,-0.357351,11.1534,3.43005,1.89516,-3.03722,1,T,15.681,-2.94366,1.15315,15.3586,3.16147,2.28422,2.76823,-1,2.03372
148864,313486094,G,12.6982,8.43604,3.15775,-8.94963,9.00767,-0.87681,0.358171,-1,T,4.87194,2.11957,0.177451,-4.38185,2.12699,-1.4702,0.0835252,1,2.90489
148864,313541854,G,6.78291,1.90901,-4.11136,-5.04472,4.53295,-0.958996,-1.13609,1,T,7.25492,2.39322,-2.28819,-6.45441,3.31109,-1.42074,-0.762967,-1,2.31679
148864,313560670,G,18.7438,-5.06358,0.636482,18.0353,5.10342,1.97501,3.01655,-1,G,6.86628,-2.87873,1.66187,6.00714,3.32399,1.35394,2.61804,1,3.07767
148864,313654910,G,41.3267,5.67917,37.1685,17.1503,37.5999,0.44163,1.41917,-1,T,4.32885,0.0528257,1.4326,-4.08321,1.43357,-1.76934,1.53394,1,19.7681
148864,313706014,G,36.167,7.39656,-12.2918,33.2001,14.3457,1.57596,-1.02909,1,G,14.9408,-7.20046,-8.26595,10.151,10.9623,0.828062,-2.28741,-1,17.6077
148864,313719502,G,20.4762,4.5801,-4.83287,-19.3631,6.65837,-1.78897,-0.812245,-1,T,7.18884,2.50581,-0.120497,-6.73607,2.50871,-1.71386,-0.04805,1,3.07274
148864,313749846,G,27.6516,1.67831,8.95026,26.1089,9.10625,1.77557,1.38543,1,T,30.1773,0.963388,6.76773,29.3927,6.83596,2.16495,1.4294,1,3.11816
148864,313796470,G,9.43786,1.84491,-2.55758,-8.89478,3.15355,-1.76012,-0.945884,-1,G,16.3741,2.3166,2.93921,15.9403,3.7424,2.15578,0.90331,-1,24.4776
148864,313811550,G,13.9886,-5.89747,-8.62514,-9.30029,10.4486,-0.80149,-2.17054,-1,T,5.16872,-0.0475243,-1.31786,-4.99655,1.31872,-2.04221,-1.60684,-1,5.32874
148864,313810390,G,52.9973,5.12972,-13.9022,50.8834,14.8184,1.94737,-1.21731,1,T,25.8159,3.46936,-8.78166,24.027,9.44214,1.66369,-1.19455,1,3.38508
148864,313861606,G,52.5403,5.77954,-7.54675,51.6732,9.5056,2.39456,-0.917239,1,T,4.03962,1.02197,-0.0911695,3.90572,1.02603,2.04671,-0.0889738,1,2.77081
148864,313898622,G,10.1113,2.89844,3.88844,8.87162,4.84984,1.36456,0.930247,-1,G,6.3431,-0.2962,2.98513,5.58794,2.99979,1.38053,1.6697,1,2.76584
148864,313897782,G,11.5056,2.4245,-5.22149,-9.96126,5.75692,-1.31609,-1.13609,1,G,14.0152,4.49225,-2.69846,-12.9981,5.24042,-1.63991,-0.540929,-1,3.68929
148864,313944942,G,5.59929,-0.390942,4.13825,3.75006,4.15668,0.810484,1.66499,-1,G,13.4368,-2.25367,-7.67436,10.7963,7.99842,1.10846,-1.85643,-1,11.4576
148864,313980158,G,6.28197,0.18885,-4.92332,3.8958,4.92694,0.725401,-1.53246,-1,G,5.79427,5.76065,-0.542447,0.288213,5.78613,0.0497905,-0.0938873,-1,7.94094
148864,313990902,G,9.80145,2.2347,-4.10441,8.61494,4.67334,1.37134,-1.07222,-1,T,13.3506,4.83134,-2.51594,12.1884,5.44718,1.54509,-0.480112,1,3.07948
148864,313991334,G,6.85601,0.935787,-3.02294,6.08111,3.16447,1.40805,-1.27059,-1,G,7.67116,5.39026,3.10668,4.48655,6.22145,0.669902,0.522849,-1,7.70308
148864,314031310,G,14.7898,1.56464,-4.50612,-13.9991,4.77003,-1.79762,-1.23659,1,G,12.0112,2.05543,-5.67596,-10.3835,6.03666,-1.31095,-1.22336,-1,2.64686
148864,314033486,G,39.4555,7.0011,-7.13782,38.1675,9.99819,2.04946,-0.795067,1,T,10.1869,0.667561,-1.89114,9.98696,2.00551,2.30846,-1.23146,-1,2.27584
148864,314045614,G,25.3754,-4.56805,-1.58746,24.9101,4.83602,2.34162,-2.80713,-1,G,8.02099,4.26224,-3.35954,5.90524,5.42708,0.942323,-0.66751,1,11.8814
148864,314064494,G,9.43483,1.04631,-4.25973,-8.35253,4.38635,-1.39996,-1.32994,-1,G,6.16472,1.7924,-4.0195,-4.3155,4.40104,-0.867563,-1.15133,-1,2.50261
148864,314092046,G,15.127,-9.33257,-11.5629,2.83145,14.8592,0.189417,-2.24986,1,T,19.6533,-12.6765,-14.9606,1.31562,19.609,0.0670425,-2.27374,1,2.14019
148864,314093174,G,8.17241,-0.484994,4.60528,6.733,4.63074,1.16896,1.67572,-1,G,5.84518,-5.80242,0.178591,0.6746,5.80516,0.115947,3.11082,-1,8.89963
148864,314103158,G,13.928,0.209515,4.0406,13.3269,4.04602,1.90748,1.51899,1,G,9.8235,1.00008,-4.89478,8.4576,4.9959,1.29722,-1.36926,-1,9.34742
148864,314114254,G,5.47265,-1.33841,-4.97392,1.84595,5.15084,0.351119,-1.83366,1,G,6.75646,0.614449,6.32337,-2.29696,6.35315,-0.3541,1.47393,-1,12.1245
148864,314135422,G,7.99809,3.17797,-4.63727,-5.68811,5.62173,-0.889698,-0.969997,-1,G,13.7511,2.48205,-5.27973,12.4517,5.83405,1.50214,-1.13135,-1,17.2307
148864,314156798,G,11.962,4.54613,-0.616589,-11.0467,4.58776,-1.61246,-0.134807,1,G,6.81428,2.55947,-2.39346,-5.84326,3.50422,-1.28422,-0.751892,-1,2.77958
148864,314182607,G,5.0539,2.2728,0.488861,-4.48622,2.32478,-1.41176,0.211864,-1,T,5.77433,-1.22864,-0.253495,-5.63542,1.25452,-2.20763,-2.93813,-1,3.6956
148864,314209751,G,13.2523,-1.93307,-2.52907,-12.8639,3.18323,-2.10464,-2.22341,1,G,14.4076,-4.53332,-4.17376,-13.023,6.16208,-1.49323,-2.39747,1,2.86383
148864,314235631,G,6.81357,-4.10327,1.46184,-5.2383,4.3559,-1.01762,2.79935,-1,T,2.98499,0.809315,0.756421,-2.7698,1.10777,-1.64735,0.751629,1,4.01387
148864,314261647,G,12.4846,-3.24089,-0.0589918,-12.056,3.24143,-2.0243,-3.12339,-1,G,15.7818,2.79298,-2.7652,15.2842,3.93028,2.06739,-0.780401,1,27.9355
148864,314317759,G,17.698,-0.326737,-4.04939,-17.2251,4.06255,-2.15133,-1.65131,1,T,4.74614,-1.66858,-0.949926,-4.33915,1.92003,-1.55419,-2.62405,-1,3.1223
148864,314386095,G,4.74106,0.773879,-3.277,-3.33599,3.36714,-0.874817,-1.33889,1,T,12.5867,-1.68123,-8.04739,-9.53037,8.22113,-0.989624,-1.77675,1,2.37578
148864,314398463,G,4.99101,1.89441,4.59511,0.44189,4.97029,0.0887895,1.17976,1,G,4.60332,3.08048,2.44509,2.3899,3.93291,0.575388,0.670911,-1,3.11744
148864,314409871,G,11.1674,-9.85695,-3.5196,3.89267,10.4665,0.363838,-2.79864,-1,T,4.64825,-3.96079,0.462258,2.38611,3.98768,0.567428,3.02541,-1,3.23029
148864,314487079,G,28.3267,7.03083,-6.37329,26.6896,9.48954,1.75744,-0.736382,1,T,2.90673,-0.727654,-1.16963,2.55742,1.37751,1.37758,-2.12732,-1,4.84853
148864,314547519,G,13.3982,-0.0621022,5.36092,12.2784,5.36128,1.56636,1.58238,-1,G,17.6566,-7.57872,-8.21486,13.6683,11.1768,1.03056,-2.31594,1,14.9881
148864,314559655,G,19.8794,2.77374,-2.98407,19.4571,4.0741,2.2675,-0.821912,1,G,5.07171,-4.43838,-0.603302,2.37653,4.4792,0.508387,-3.00649,1,11.4108
148864,314579031,G,7.47596,-3.01181,4.33854,-5.29007,5.28147,-0.882524,2.17762,1,G,6.23694,2.68855,-5.6102,0.430877,6.22114,0.0692048,-1.12391,1,12.7558
148864,314614407,G,6.95192,-4.80096,1.90651,4.65124,5.16566,0.809176,2.76358,-1,G,4.09761,3.49148,1.98,-0.817549,4.01384,-0.2023,0.515873,-1,9.5171
148864,314614591,G,7.97809,-3.8348,-3.61394,-5.98937,5.26937,-0.97477,-2.38584,1,T,5.61201,-0.158765,-1.82228,-5.30449,1.82919,-1.78631,-1.6577,1,3.41155
148864,314583575,G,19.7208,-19.2063,-3.74699,-2.44487,19.5684,-0.124617,-2.94892,1,T,5.31851,0.669602,-1.06921,5.16563,1.26158,2.1174,-1.01129,-1,15.8984
148864,314658111,G,12.0213,2.81456,-7.25715,-9.1604,7.78383,-1.00107,-1.20082,1,T,3.74909,-0.983195,-0.603433,3.56563,1.1536,1.84679,-2.59113,-1,12.3394
148864,314662871,G,7.71346,-3.55762,3.26206,-6.01569,4.82677,-1.04529,2.39951,-1,G,11.8441,0.570601,-3.53997,11.2878,3.58566,1.86425,-1.41098,-1,18.5931
148864,314685615,G,213.98,-16.1922,-47.194,-208.082,49.8945,-2.13524,-1.90131,1,T,4.70902,0.699737,-1.29947,-4.47051,1.47589,-1.82758,-1.07684,1,7.40534
148864,314689319,G,3.6154,-3.29119,1.15661,0.943567,3.4885,0.267285,2.80365,1,T,7.74449,-5.28294,4.73703,3.10114,7.0957,0.424207,2.41062,1,2.10639
148864,314726807,G,7.44992,0.751202,-3.47912,6.54382,3.5593,1.36899,-1.35814,1,G,4.53886,-0.97333,4.41409,-0.398121,4.52013,-0.0879637,1.78783,-1,10.2488
148864,314748167,G,19.5502,-0.0274205,5.34224,-18.8058,5.34231,-1.97125,1.57593,-1,G,3.83448,-0.842871,3.70015,-0.53906,3.79493,-0.141574,1.79477,1,9.49194
148864,314748871,G,6.50891,0.810779,3.00508,-5.7155,3.11253,-1.36793,1.30727,-1,G,6.13262,0.357741,-4.54215,-4.1035,4.55622,-0.80934,-1.4922,1,7.72448
148864,314776703,G,5.83456,3.90951,3.2473,-2.86386,5.08225,-0.537278,0.693131,1,G,5.72386,4.48288,3.55366,-0.163124,5.72056,-0.0285116,0.670285,1,2.7837
148864,314818551,G,15.3136,-5.23106,-14.1229,-2.77035,15.0606,-0.182925,-1.92552,-1,T,3.47769,0.258568,0.726406,-3.38949,0.771053,-2.18652,1.22883,-1,10.5346
148864,314814415,G,26.8232,-1.71412,9.32804,25.0903,9.48422,1.69994,1.75253,1,T,3.68042,0.761272,0.592992,3.55009,0.964974,2.01375,0.661773,-1,3.29619
148864,314821607,G,8.09952,1.6219,3.13675,7.28844,3.53125,1.47189,1.09359,-1,G,9.18482,-1.94206,-3.60476,8.22094,4.09462,1.44709,-2.06496,1,7.60829
148864,314862887,G,8.55317,-1.82844,4.08616,-7.28736,4.4766,-1.26367,1.99155,-1,G,8.10848,5.61502,-2.3575,5.35258,6.08984,0.793128,-0.397505,1,16.0169
148864,314894143,G,7.09417,4.51059,-1.67419,-5.21227,4.81127,-0.939098,-0.355408,1,G,23.4206,-8.7829,5.66634,20.9587,10.4521,1.44596,2.56863,-1,25.4757
148864,314897327,G,25.6924,-1.57085,-17.8105,18.4502,17.8796,0.903759,-1.65877,-1,T,6.54406,-0.486523,5.07567,-4.10055,5.09893,-0.735943,1.66636,-1,25.8239
148864,314922727,G,11.5717,-2.87921,2.85576,-10.8374,4.05527,-1.70943,2.36028,-1,G,8.52473,-4.18258,1.94474,-7.16825,4.61259,-1.22438,2.70637,1,2.59838
148864,314912807,G,10.3348,-3.97591,-3.51591,8.86721,5.3075,1.28587,-2.41752,1,G,3.89978,3.6125,1.26663,0.736604,3.82813,0.191251,0.337232,1,10.2566
148864,314927919,G,10.3031,-1.83918,-6.32624,7.92084,6.58817,1.01743,-1.85372,1,G,8.37787,0.757385,-3.45611,7.59336,3.53813,1.50715,-1.35506,1,3.38009
148864,314935799,G,8.55334,2.30829,-2.88982,-7.71163,3.69855,-1.48103,-0.89681,1,G,10.9934,0.224102,-5.31823,9.61823,5.32294,1.3538,-1.52868,1,17.4544
148864,314937399,G,10.9934,-3.91465,1.80071,10.1132,4.30895,1.58887,2.71046,-1,T,3.72223,3.67879,0.144855,-0.537924,3.68164,-0.145595,0.0393555,1,11.0011
